 1  2   3   4   5   6   7   8   9  10  11  12  13  14

12, 4,  10, 2,  7,  11, 5,  9,  8,  3,  6,  1,  14, 13, 
2,  1,  9,  14, 13, 10, 8,  7,  3,  6,  12, 11, 5,  4, 
7,  3,  2,  6,  8,  4,  1,  5,  11, 13, 9,  14, 10, 12, 
13, 11, 7,  8,  6,  5,  3,  4,  12, 14, 2,  9,  1,  10, 
4,  7,  5,  1,  3,  12, 2,  10, 14, 8,  13, 6,  11, 9, 
8,  14, 6,  12, 11, 3,  10, 1,  13, 7,  5,  4,  9,  2, 
10, 9,  8,  13, 12, 7,  6,  3,  2,  1,  14, 5,  4,  11, 
11, 8,  14, 5,  4,  13, 12, 2,  10, 9,  1,  7,  6,  3, 
5,  6,  13, 9,  1,  2,  11, 14, 4,  12, 7,  10, 3,  8, 
6,  12, 4,  3,  9,  1,  14, 13, 5,  11, 10, 2,  8,  7, 
9,  5,  11, 10, 2,  14, 13, 12, 1,  4,  3,  8,  7,  6, 
3,  10, 1,  7,  14, 9,  4,  11, 6,  2,  8,  13, 12, 5, 
14, 13, 12, 11, 10, 8,  9,  6,  7,  5,  4,  3,  2,  1

2,  1,  13, 12, 11, 10, 9,  14, 7,  6,  5,  4,  3,  8, 
12, 3,  2,  10, 7,  8,  5,  6,  14, 4,  13, 1,  11, 9, 
7,  12, 10, 5,  4,  14, 1,  11, 13, 3,  8,  2,  9,  6, 
8,  6,  9,  7,  13, 2,  4,  1,  3,  14, 12, 11, 5,  10, 
4,  5,  6,  1,  2,  3,  11, 10, 12, 8,  7,  9,  14, 13, 
10, 7,  4,  3,  14, 13, 2,  12, 11, 1,  9,  8,  6,  5, 
5, 9, 8, 14, 1, 7, 6, 3, 2, 11, 10, 13, 12, 4, 
6, 4, 11, 2, 9, 1, 14, 13, 5, 12, 3, 10, 8, 7, 
13, 8, 5, 6, 3, 4, 12, 2, 10, 9, 14, 7, 1, 11, 
9, 11, 7, 8, 6, 5, 3, 4, 1, 13, 2, 14, 10, 12, 
11, 10, 14, 9, 8, 12, 13, 5, 4, 2, 1, 6, 7, 3, 
14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 
3, 14, 1, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 2
